r,g_r,h_r,c_r
5.929412,1.000000,0.000000,0.000000
5.960784,1.000000,0.000000,0.000000
5.992157,1.000000,0.000000,0.000000
6.023529,1.000000,0.000000,0.000000
6.054902,1.000000,0.000000,0.000000
6.086275,1.000000,0.000000,0.000000
6.117647,1.000000,0.000000,0.000000
6.149020,1.000000,0.000000,0.000000
6.180392,1.000000,0.000000,0.000000
6.211765,1.000000,0.000000,0.000000
6.243137,1.000000,0.000000,0.000000
6.274510,1.000000,0.000000,0.000000
6.305882,1.000000,0.000000,0.000000
6.337255,1.000000,0.000000,0.000000
6.368627,1.000000,0.000000,0.000000
6.400000,1.000000,0.000000,0.000000
6.431373,1.000000,0.000000,0.000000
6.462745,1.000000,0.000000,0.000000
6.494118,1.000000,0.000000,0.000000
6.525490,1.000000,0.000000,0.000000
6.556863,1.000000,0.000000,0.000000
6.588235,1.000000,0.000000,0.000000
6.619608,1.000000,0.000000,0.000000
6.650980,1.000000,0.000000,0.000000
6.682353,1.000000,0.000000,0.000000
6.713725,1.000000,0.000000,0.000000
6.745098,1.000000,0.000000,0.000000
6.776471,1.000000,0.000000,0.000000
6.807843,1.000000,0.000000,0.000000
6.839216,1.000000,0.000000,0.000000
6.870588,1.000000,0.000000,0.000000
6.901961,1.000000,0.000000,0.000000
6.933333,1.000000,0.000000,0.000000
6.964706,1.000000,0.000000,0.000000
6.996078,1.000000,0.000000,0.000000
7.027451,1.000000,0.000000,0.000000
7.058824,1.000000,0.000000,0.000000
7.090196,1.000000,0.000000,0.000000
7.121569,1.000000,0.000000,0.000000
7.152941,1.000000,0.000000,0.000000
7.184314,1.000000,0.000000,0.000000
7.215686,1.000000,0.000000,0.000000
7.247059,1.000000,0.000000,0.000000
7.278431,1.000000,0.000000,0.000000
7.309804,1.000000,0.000000,0.000000
7.341176,1.000000,0.000000,0.000000
7.372549,1.000000,0.000000,0.000000
7.403922,1.000000,0.000000,0.000000
7.435294,1.000000,0.000000,0.000000
7.466667,1.000000,0.000000,0.000000
7.498039,1.000000,0.000000,0.000000
7.529412,1.000000,0.000000,0.000000
7.560784,1.000000,0.000000,0.000000
7.592157,1.000000,0.000000,0.000000
7.623529,1.000000,0.000000,0.000000
7.654902,1.000000,0.000000,0.000000
7.686275,1.000000,0.000000,0.000000
7.717647,1.000000,0.000000,0.000000
7.749020,1.000000,0.000000,0.000000
7.780392,1.000000,0.000000,0.000000
7.811765,1.000000,0.000000,0.000000
7.843137,1.000000,0.000000,0.000000
7.874510,1.000000,0.000000,0.000000
7.905882,1.000000,0.000000,0.000000
7.937255,1.000000,0.000000,0.000000
7.968627,1.000000,0.000000,0.000000
8.000000,1.000000,0.000000,0.000000
